evalNum,writeNum,writelnNum,escapeNum,unescapeNum,fromCharCodeNum,splitNum,subStringNum,charAtNum,ActiveXObjectNum,createElementNum,locationNum,URLNum,referrerNum,replaceNum,setTimeoutNum,reloadNum,strAllNum,idenAllNum,Tag
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,49,1
0,1,0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,50,86,1
0,1,0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,50,86,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,255,15,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,29,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,15,1
0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,21,40,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,18,72,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,243,15,1
0,1,0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,50,86,1
0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,21,40,1
0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,21,40,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,50,86,1
0,1,0,0,0,0,1,0,1,0,0,3,0,1,0,1,0,50,86,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,36,86,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,45,106,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
0,1,0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,50,86,1
0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,7,25,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
0,1,0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,50,86,1
0,1,0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,50,86,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,131,15,1
2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,15,29,1
0,1,0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,50,86,1
0,1,0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,50,86,1
0,1,0,0,0,0,0,0,0,0,0,4,0,5,0,1,0,26,56,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,45,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,1
0,1,0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,50,86,1
0,1,0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,50,86,1
0,1,0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,50,86,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1
0,1,0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,50,86,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,506,36,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,506,36,1
0,1,0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,50,86,1
0,1,0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,50,86,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,26,1
0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,45,106,1
0,1,0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,50,86,1
0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,21,40,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,50,86,1
0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,21,40,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,131,15,1
