0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,0,145,484,31,3,94
0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,0,145,484,31,3,94
0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,0,145,484,31,3,94
1,4,0,5,0,2,16,0,6,1,37,15,0,0,62,10,0,4482,19841,199,71,2784
0,1,0,2,0,0,9,17,1,0,19,36,0,3,53,51,4,7517,24668,6941,1857,5549
1,0,0,2,0,0,0,0,2,0,5,1,0,0,6,1,0,377,1504,54,4,207
0,1,0,2,0,0,9,17,1,0,19,36,0,3,53,51,4,7517,24668,6941,1857,5549
0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,0,145,484,31,3,94
3,0,0,0,0,0,13,0,0,1,6,10,0,1,30,8,0,890,3773,122,16,593
0,1,0,2,0,0,6,0,1,0,2,4,0,0,3,0,0,166,486,62,0,81
1,4,0,5,0,2,16,0,6,1,37,15,0,0,62,10,0,4482,19841,199,71,2784
0,1,0,2,0,0,9,17,1,0,19,36,0,3,53,51,4,7517,24668,6941,1857,5549
1,0,0,2,0,0,0,0,2,0,5,1,0,0,6,1,0,377,1504,54,4,207
0,1,0,2,0,0,6,0,1,0,2,4,0,0,3,0,0,166,486,62,0,81
1,4,0,5,0,2,16,0,6,1,37,15,0,0,62,10,0,4482,19841,199,71,2784
0,1,0,2,0,0,9,17,1,0,19,36,0,3,53,51,4,7517,24668,6941,1857,5549
1,0,0,2,0,0,0,0,2,0,5,1,0,0,6,1,0,377,1504,54,4,207
0,1,0,2,0,0,6,0,1,0,2,4,0,0,3,0,0,166,486,62,0,81
1,4,0,5,0,2,16,0,6,1,37,15,0,0,62,10,0,4482,19841,199,71,2784
0,1,0,2,0,0,9,17,1,0,19,36,0,3,53,51,4,7517,24668,6941,1857,5549
1,0,0,2,0,0,0,0,2,0,5,1,0,0,6,1,0,377,1504,54,4,207
0,1,0,2,0,0,6,0,1,0,2,4,0,0,3,0,0,166,486,62,0,81
1,4,0,5,0,2,16,0,6,1,37,15,0,0,62,10,0,4482,19841,199,71,2784
0,1,0,2,0,0,9,17,1,0,19,36,0,3,53,51,4,7517,24668,6941,1857,5549
1,0,0,2,0,0,0,0,2,0,5,1,0,0,6,1,0,377,1504,54,4,207
0,1,0,2,0,0,6,0,1,0,2,4,0,0,3,0,0,166,486,62,0,81
1,4,0,5,0,2,16,0,6,1,37,15,0,0,62,10,0,4482,19841,199,71,2784
0,1,0,2,0,0,9,17,1,0,19,36,0,3,53,51,4,7517,24668,6941,1857,5549
1,0,0,2,0,0,0,0,2,0,5,1,0,0,6,1,0,377,1504,54,4,207
0,1,0,2,0,0,6,0,1,0,2,4,0,0,3,0,0,166,486,62,0,81
1,4,0,5,0,2,16,0,6,1,37,15,0,0,62,10,0,4482,19841,199,71,2784
0,1,0,2,0,0,9,17,1,0,19,36,0,3,53,51,4,7517,24668,6941,1857,5549
1,0,0,2,0,0,0,0,2,0,5,1,0,0,6,1,0,377,1504,54,4,207
0,1,0,2,0,0,6,0,1,0,2,4,0,0,3,0,0,166,486,62,0,81
1,4,0,5,0,2,16,0,6,1,37,15,0,0,62,10,0,4482,19841,199,71,2784
0,1,0,2,0,0,9,17,1,0,19,36,0,3,53,51,4,7517,24668,6941,1857,5549
1,0,0,2,0,0,0,0,2,0,5,1,0,0,6,1,0,377,1504,54,4,207
0,1,0,2,0,0,6,0,1,0,2,4,0,0,3,0,0,166,486,62,0,81
0,1,0,2,0,0,9,17,1,0,19,36,0,3,53,51,4,7517,24668,6941,1857,5549
0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,0,145,484,31,3,94
0,4,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,1187,1089,126,0,26
1,0,0,2,0,0,0,0,2,0,5,1,0,0,6,1,0,377,1504,54,4,207
0,1,0,2,0,0,9,17,1,0,19,36,0,3,53,51,4,7517,24668,6941,1857,5549
0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,0,145,484,31,3,94
0,4,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,1187,1089,126,0,26
1,0,0,2,0,0,0,0,2,0,5,1,0,0,6,1,0,377,1504,54,4,207
0,1,0,2,0,0,9,17,1,0,19,36,0,3,53,51,4,7517,24668,6941,1857,5549
0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,0,145,484,31,3,94
0,4,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,1187,1089,126,0,26
1,0,0,2,0,0,0,0,2,0,5,1,0,0,6,1,0,377,1504,54,4,207
0,1,0,2,0,0,9,17,1,0,19,36,0,3,53,51,4,7517,24668,6941,1857,5549
0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,0,145,484,31,3,94
